Samples	SBS1	SBS2	SBS5	SBS13	SBS32	SBS35	SBS37	SBS40	SBS46	SBS54
LKCGP-P000601-245664-01-06-01-D1	3	0	68	0	0	0	45	0	0	0
LKCGP-P000602-250784-01-04-01-D1	4	0	271	0	0	0	0	0	0	0
LKCGP-P000603-255322-01-06-01-D1	0	0	136	0	0	0	0	0	0	0
LKCGP-P000604-259901-01-01-01-D1	12	0	146	0	0	0	0	0	0	0
LKCGP-P000605-267980-01-01-01-R3	12	0	163	0	0	0	0	0	0	0
LKCGP-P000606-245909-01-01-01-P1	19	0	149	0	0	0	0	0	76	41
LKCGP-P000607-256617-01-02-06-R1	27	0	193	0	0	0	0	0	0	0
LKCGP-P000607-256695-01-02-01-R1	16	0	206	0	0	0	0	0	0	0
LKCGP-P000608-263367-01-01-01-R1	11	0	234	0	0	0	0	0	0	0
LKCGP-P000702-251072-01-06-01-D1	2	0	137	0	0	0	0	0	0	0
LKCGP-P000703-257977-01-01-01-P1	16	0	378	0	0	0	0	0	0	0
LKCGP-P000704-259975-01-04-01-P1	1	0	76	0	0	0	0	0	0	0
LKCGP-P000705-269231-01-04-20-D1	14	0	219	0	0	0	0	0	0	0
LKCGP-P000706-245879-01-01-01-P1	10	0	219	0	0	0	0	0	0	0
LKCGP-P000801-247593-01-01-01-R1	15	0	241	0	0	0	0	0	0	0
LKCGP-P000802-252046-01-06-01-R1	5	0	257	0	0	0	0	0	0	0
LKCGP-P000804-261896-01-01-01-R1	9	0	291	0	0	0	0	0	0	0
LKCGP-P000806-246360-01-04-01-D1	34	0	292	0	0	0	0	0	0	49
LKCGP-P000807-259168-03-01-13-R1	22	0	172	0	0	0	0	0	0	0
LKCGP-P000808-277070-01-02-03-R2	17	0	103	0	0	0	0	0	0	0
LKCGP-P000902-252200-01-01-01-D1	16	0	227	0	0	0	0	0	0	0
LKCGP-P000903-263833-01-01-01-P1	22	0	439	0	0	0	0	0	0	0
LKCGP-P000904-262038-01-01-01-D1	14	0	153	0	0	0	0	0	0	0
LKCGP-P000906-248532-01-02-01-P1	8	0	440	0	0	0	0	0	0	0
LKCGP-P001001-248023-01-01-01-R1	7	0	199	0	0	0	0	0	0	71
LKCGP-P001002-252900-01-01-01-R1	8	0	357	0	0	0	0	0	0	0
LKCGP-P001003-265756-01-01-01-D1	1	0	140	0	0	0	0	0	0	0
LKCGP-P001005-271863-01-02-03-D1	21	0	181	0	0	0	0	0	68	0
LKCGP-P001006-249154-01-02-01-R1	7	0	61	0	0	0	51	110	0	0
LKCGP-P001007-260322-01-01-01-D1	0	0	194	0	0	0	0	0	0	0
LKCGP-P001101-250725-01-03-01-P2	16	0	112	0	0	0	0	0	0	35
LKCGP-P001102-252831-01-01-01-D1	8	0	181	0	0	0	0	0	0	0
LKCGP-P001103-270604-01-02-03-R1	81	0	1509	0	0	0	0	0	0	0
